"symbol","page?","name","t","p","p_corr","var_explained","var_sd"
"AMPD1","270","adenosine monophosphate deaminase 1",1.78456059827668,0.134403167519385,0.237510723729104,0.301363367280353,0.402254613173555
"AMPD2","271","adenosine monophosphate deaminase 2",3.60431337745589,0.0154727800701135,0.0533125043378842,1.89065198428681,1.48515321278428
"AMPD3","272","adenosine monophosphate deaminase 3",-2.23233555662193,0.0759419197600516,0.158256108877413,0.749645066636267,0.70496037789988
"AMPH","273","amphiphysin",1.92881015884921,0.111660427816055,0.207591924963093,1.08281313141483,1.19868778265998
"BIN1","274","bridging integrator 1",-0.345764907571198,0.743592320377606,0.819785391868963,0.0787258959080662,0.0538774733506349
"AMT","275","aminomethyltransferase",1.01640041041143,0.356070768005828,0.484147243232415,0.900766111261424,1.31236760468225
"AMY1B","277","amylase, alpha 1B (salivary)",2.67799469879068,0.0439255281252836,0.107827108306598,1.90992611571007,1.76123690193879
"AMY2A","279","amylase, alpha 2A (pancreatic)",2.32199334729861,0.067884779751321,0.146154419129022,2.41473309484827,2.26505013621463
"ANG","283","angiogenin, ribonuclease, RNase A family, 5",-0.814352765095627,0.452468182156411,0.575538863204339,0.878790307845052,1.37224571168255
"ANGPT1","284","angiopoietin 1",-19.5206063024927,6.51182896069603e-06,0.00115345743827286,5.8370368059538,1.50707535021064
"ANGPT2","285","angiopoietin 2",-6.38005363881593,0.00140011202467827,0.0120759669633209,0.908221585847903,0.687967218376951
"ANK1","286","ankyrin 1, erythrocytic",-4.74514509860333,0.00512658061337039,0.0260935923629114,3.04572040405693,3.32193174476658
"ANK2","287","ankyrin 2, neuronal",-0.257908128553515,0.806756649521991,0.86617687483155,1.47304653532338,1.61096514010991
"ANK3","288","ankyrin 3, node of Ranvier (ankyrin G)",0.965219075588972,0.37876552840598,0.506393043412343,0.619639307691895,0.718892788530903
"ANPEP","290","alanyl (membrane) aminopeptidase",1.19756697098361,0.284756730239331,0.412778113771615,0.197272234029052,0.221960351296882
"SLC25A4","291","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",0.854620369468755,0.431793687601248,0.556794351028458,0.904018634737875,0.599726333520595
"SLC25A5","292","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5",3.27292085929879,0.0221269669753462,0.0680373999114844,0.90959568410601,0.876061089188322
"SLC25A6","293","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",1.61281921963107,0.167702449769212,0.278660735270448,1.139494037487,1.61658259829027
"ANXA1","301","annexin A1",0.895682156614658,0.411464749110897,0.538067296160557,0.695751625333795,1.08440992835807
"ANXA2","302","annexin A2",-6.96474857300737,0.000938287469814455,0.00964121682404007,2.96376951131069,1.65943260174871
